DIA,SEMANA,numero
01/01/2017,1,0
01/02/2017,1,1
01/03/2017,1,2
01/04/2017,1,3
01/05/2017,1,4
01/06/2017,1,5
01/07/2017,1,6
01/08/2017,2,7
01/09/2017,2,8
01/10/2017,2,9
01/11/2017,2,10
01/12/2017,2,11
01/13/2017,2,12
01/14/2017,2,13
01/15/2017,3,14
01/16/2017,3,15
01/17/2017,3,16
01/18/2017,3,17
01/19/2017,3,18
01/20/2017,3,19
01/21/2017,3,20
01/22/2017,4,21
01/23/2017,4,22
01/24/2017,4,23
01/25/2017,4,24
01/26/2017,4,25
01/27/2017,4,26
01/28/2017,4,27
01/29/2017,5,28
01/30/2017,5,29
01/31/2017,5,30
02/01/2017,5,31
02/02/2017,5,32
02/03/2017,5,33
02/04/2017,5,34
02/05/2017,6,35
02/06/2017,6,36
02/07/2017,6,37
02/08/2017,6,38
02/09/2017,6,39
02/10/2017,6,40
02/11/2017,6,41
02/12/2017,7,42
02/13/2017,7,43
02/14/2017,7,44
02/15/2017,7,45
02/16/2017,7,46
02/17/2017,7,47
02/18/2017,7,48
02/19/2017,8,49
02/20/2017,8,50
02/21/2017,8,51
02/22/2017,8,52
02/23/2017,8,53
02/24/2017,8,54
02/25/2017,8,55
02/26/2017,9,56
02/27/2017,9,57
02/28/2017,9,58
03/01/2017,9,59
03/02/2017,9,60
03/03/2017,9,61
03/04/2017,9,62
03/05/2017,10,63
03/06/2017,10,64
03/07/2017,10,65
03/08/2017,10,66
03/09/2017,10,67
03/10/2017,10,68
03/11/2017,10,69
03/12/2017,11,70
03/13/2017,11,71
03/14/2017,11,72
03/15/2017,11,73
03/16/2017,11,74
03/17/2017,11,75
03/18/2017,11,76
03/19/2017,12,77
03/20/2017,12,78
03/21/2017,12,79
03/22/2017,12,80
03/23/2017,12,81
03/24/2017,12,82
03/25/2017,12,83
03/26/2017,13,84
03/27/2017,13,85
03/28/2017,13,86
03/29/2017,13,87
03/30/2017,13,88
03/31/2017,13,89
04/01/2017,13,90
04/02/2017,14,91
04/03/2017,14,92
04/04/2017,14,93
04/05/2017,14,94
04/06/2017,14,95
04/07/2017,14,96
04/08/2017,14,97
04/09/2017,15,98
04/10/2017,15,99
